generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
48,uci_cancer_test/48/20251008-233539,nan,nan,0.9261862917398945,0.37258347978910367,0.7299297012302284,0.924780316344464,48_7,48_88
49,uci_cancer_test/49/20251008-233543,nan,nan,0.9261862917398945,0.37258347978910367,0.82414762741652,0.9251318101933215,49_12,48_88
50,uci_cancer_test/50/20251008-233548,nan,nan,0.9261862917398945,0.37258347978910367,0.8145694200351494,0.9254833040421794,50_22,48_88
51,uci_cancer_test/51/20251008-233552,nan,nan,0.9261862917398945,0.37258347978910367,0.8050615114235501,0.9261862917398945,51_14,48_88
52,uci_cancer_test/52/20251008-233557,nan,nan,0.9261862917398945,0.37258347978910367,0.7644815465729349,0.9261862917398945,52_6,48_88
53,uci_cancer_test/53/20251008-233601,nan,nan,0.9261862917398945,0.37258347978910367,0.813585237258348,0.9261862917398945,53_8,48_88
54,uci_cancer_test/54/20251008-233605,nan,nan,0.9261862917398945,0.37258347978910367,0.8347451669595783,0.9261862917398945,54_8,48_88
55,uci_cancer_test/55/20251008-233610,nan,nan,0.9261862917398945,0.37258347978910367,0.7777328646748682,0.9261862917398945,55_22,48_88
56,uci_cancer_test/56/20251008-233615,nan,nan,0.9261862917398945,0.37258347978910367,0.7525131810193321,0.9261862917398945,56_6,48_88
57,uci_cancer_test/57/20251008-233620,nan,nan,0.9261862917398945,0.37258347978910367,0.821810193321617,0.9261862917398945,57_13,48_88
58,uci_cancer_test/58/20251008-233626,nan,nan,0.9261862917398945,0.37258347978910367,0.7927592267135324,0.9261862917398945,58_16,48_88
59,uci_cancer_test/59/20251008-233632,nan,nan,0.9261862917398945,0.37258347978910367,0.7898242530755712,0.9261862917398945,59_31,48_88
60,uci_cancer_test/60/20251008-233639,nan,nan,0.9332161687170475,0.37258347978910367,0.8100527240773286,0.9275922671353252,60_6,60_15
61,uci_cancer_test/61/20251008-233645,nan,nan,0.9332161687170475,0.37258347978910367,0.8391915641476274,0.9289982425307558,61_8,60_15
62,uci_cancer_test/62/20251008-233651,nan,nan,0.9332161687170475,0.37258347978910367,0.8244815465729348,0.9318101933216167,62_10,60_15
63,uci_cancer_test/63/20251008-233658,nan,nan,0.9332161687170475,0.37258347978910367,0.8038488576449911,0.9332161687170475,63_6,60_15
64,uci_cancer_test/64/20251008-233705,nan,nan,0.9332161687170475,0.37258347978910367,0.8048857644991213,0.9332161687170475,64_6,60_15
65,uci_cancer_test/65/20251008-233711,nan,nan,0.9332161687170475,0.37258347978910367,0.8256590509666082,0.9332161687170475,65_15,60_15
66,uci_cancer_test/66/20251008-233718,nan,nan,0.9332161687170475,0.37258347978910367,0.8290158172231987,0.9332161687170475,66_8,60_15
67,uci_cancer_test/67/20251008-233725,nan,nan,0.9332161687170475,0.37258347978910367,0.8340421792618629,0.9332161687170475,67_6,60_15
68,uci_cancer_test/68/20251008-233732,nan,nan,0.9332161687170475,0.37258347978910367,0.7846221441124779,0.9332161687170475,68_6,60_15
69,uci_cancer_test/69/20251008-233739,nan,nan,0.9332161687170475,0.37258347978910367,0.8058523725834797,0.9332161687170475,69_15,60_15
70,uci_cancer_test/70/20251008-233745,nan,nan,0.9332161687170475,0.37258347978910367,0.8558347978910369,0.9332161687170475,70_9,60_15
71,uci_cancer_test/71/20251008-233753,nan,nan,0.9332161687170475,0.37258347978910367,0.8033391915641478,0.9332161687170475,71_8,60_15
72,uci_cancer_test/72/20251008-233800,nan,nan,0.9332161687170475,0.37258347978910367,0.8182425307557117,0.9332161687170475,72_6,60_15
73,uci_cancer_test/73/20251008-233808,nan,nan,0.9332161687170475,0.37258347978910367,0.8121441124780315,0.9332161687170475,73_7,60_15
74,uci_cancer_test/74/20251008-233817,nan,nan,0.9332161687170475,0.37258347978910367,0.7456766256590509,0.9332161687170475,74_9,60_15
75,uci_cancer_test/75/20251008-233825,nan,nan,0.9332161687170475,0.37258347978910367,0.8098769771528999,0.9332161687170475,75_12,60_15
76,uci_cancer_test/76/20251008-233833,nan,nan,0.9332161687170475,0.37258347978910367,0.8243936731107208,0.9332161687170475,76_6,60_15
77,uci_cancer_test/77/20251008-233842,nan,nan,0.9332161687170475,0.37258347978910367,0.7883479789103691,0.9332161687170475,77_8,60_15
78,uci_cancer_test/78/20251008-233851,nan,nan,0.9332161687170475,0.37258347978910367,0.7973462214411249,0.9332161687170475,78_7,60_15
79,uci_cancer_test/79/20251008-233900,nan,nan,0.9332161687170475,0.37258347978910367,0.749103690685413,0.9332161687170475,79_15,60_15
80,uci_cancer_test/80/20251008-233909,nan,nan,0.9349736379613357,0.37258347978910367,0.8043057996485062,0.9335676625659051,80_9,80_80
81,uci_cancer_test/81/20251008-233917,nan,nan,0.9349736379613357,0.37258347978910367,0.8574165202108963,0.9339191564147628,81_16,80_80
82,uci_cancer_test/82/20251008-233926,nan,nan,0.9349736379613357,0.37258347978910367,0.8172934973637963,0.9346221441124781,82_19,80_80
83,uci_cancer_test/83/20251008-233934,nan,nan,0.9349736379613357,0.37258347978910367,0.7773989455184536,0.9349736379613358,83_6,80_80
