generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_baseline_accuracy,min_baseline_accuracy,mean_baseline_accuracy,elites_mean_baseline_accuracy,cid_min_baseline_accuracy,cid_max_baseline_accuracy,max_in_distribution_accuracy,min_in_distribution_accuracy,mean_in_distribution_accuracy,elites_mean_in_distribution_accuracy,cid_min_in_distribution_accuracy,cid_max_in_distribution_accuracy,max_out_of_distribution_accuracy,min_out_of_distribution_accuracy,mean_out_of_distribution_accuracy,elites_mean_out_of_distribution_accuracy,cid_min_out_of_distribution_accuracy,cid_max_out_of_distribution_accuracy,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
46,uci_heart_test/46/20251119-195908,nan,nan,0.7995642701525054,0.4466230936819172,0.7171459694989107,0.7908496732026143,46_12,46_53,0.8043478260869565,0.4906832298136646,0.7393167701863357,0.8043478260869567,46_78,41_84,0.8102189781021898,0.26277372262773724,0.665036496350365,0.7591240875912408,46_12,46_53,0.8841309547424316,0.497481107711792,0.8020150995254517,0.8841309547424316,46_78,41_84
47,uci_heart_test/47/20251119-195920,nan,nan,0.7995642701525054,0.4466230936819172,0.7217429193899783,0.7908496732026143,47_17,47_21,0.8043478260869565,0.5248447204968945,0.7467701863354037,0.8043478260869567,47_17,41_84,0.8102189781021898,0.26277372262773724,0.6629197080291972,0.7591240875912408,47_17,47_21,0.8841309547424316,0.51259446144104,0.8102392816543579,0.8841309547424316,47_17,41_84
48,uci_heart_test/48/20251119-195932,nan,nan,0.7995642701525054,0.4466230936819172,0.7070261437908496,0.790631808278867,48_11,48_75,0.8043478260869565,0.5248447204968945,0.730636645962733,0.8043478260869567,48_11,41_84,0.8102189781021898,0.26277372262773724,0.6515328467153286,0.7583941605839415,48_11,48_75,0.8841309547424316,0.51259446144104,0.7935642194747925,0.8841309547424316,48_11,41_84
49,uci_heart_test/49/20251119-195944,nan,nan,0.7995642701525054,0.4466230936819172,0.7117211328976036,0.7908496732026143,49_15,49_29,0.8043478260869565,0.5248447204968945,0.7378416149068323,0.8043478260869567,49_15,41_84,0.8102189781021898,0.26277372262773724,0.6503284671532847,0.7591240875912408,49_15,49_29,0.8841309547424316,0.51259446144104,0.7997229099273682,0.8841309547424316,49_15,41_84
50,uci_heart_test/50/20251119-195955,nan,nan,0.7995642701525054,0.4466230936819172,0.7233660130718953,0.790631808278867,50_12,50_18,0.8043478260869565,0.5248447204968945,0.748167701863354,0.8043478260869567,50_12,41_84,0.8248175182481752,0.26277372262773724,0.66507299270073,0.7583941605839415,50_12,50_21,0.8841309547424316,0.51259446144104,0.8100629633665085,0.8841309547424316,50_12,41_84
51,uci_heart_test/51/20251119-200007,nan,nan,0.7995642701525054,0.4466230936819172,0.7339978213507624,0.7904139433551198,51_18,51_36,0.8043478260869565,0.5248447204968945,0.7536024844720498,0.8043478260869567,51_18,41_84,0.8102189781021898,0.26277372262773724,0.6879197080291971,0.7576642335766423,51_18,51_36,0.8841309547424316,0.51259446144104,0.8225818526744842,0.8841309547424316,51_18,41_84
52,uci_heart_test/52/20251119-200018,nan,nan,0.7995642701525054,0.4466230936819172,0.6791721132897603,0.7908496732026143,52_14,52_65,0.8043478260869565,0.5248447204968945,0.7132919254658386,0.8043478260869567,52_14,41_84,0.8102189781021898,0.26277372262773724,0.598978102189781,0.7591240875912408,52_14,52_65,0.8841309547424316,0.51259446144104,0.7662342482805252,0.8841309547424316,52_14,41_84
53,uci_heart_test/53/20251119-200029,nan,nan,0.7995642701525054,0.4466230936819172,0.7234640522875816,0.7908496732026143,53_15,53_11,0.8043478260869565,0.5248447204968945,0.7445807453416148,0.8043478260869567,53_15,41_84,0.8102189781021898,0.26277372262773724,0.6738321167883214,0.7591240875912408,53_15,53_11,0.8841309547424316,0.51259446144104,0.8107808440923691,0.8841309547424316,53_15,41_84
54,uci_heart_test/54/20251119-200041,nan,nan,0.7995642701525054,0.4466230936819172,0.7297276688453159,0.790631808278867,54_16,54_31,0.8043478260869565,0.5248447204968945,0.7506366459627329,0.8043478260869567,54_16,41_84,0.8102189781021898,0.26277372262773724,0.6805839416058396,0.7583941605839415,54_16,54_31,0.8841309547424316,0.51259446144104,0.8170528835058213,0.8841309547424316,54_16,41_84
55,uci_heart_test/55/20251119-200053,nan,nan,0.7995642701525054,0.2429193899782135,0.71541394335512,0.7907407407407407,55_80,55_59,0.8043478260869565,0.2593167701863354,0.7386180124223602,0.8043478260869567,55_80,41_84,0.8102189781021898,0.20437956204379562,0.6608759124087591,0.7587591240875912,55_80,55_59,0.8841309547424316,0.3073047995567322,0.8030100637674331,0.8841309547424316,55_80,41_84
56,uci_heart_test/56/20251119-200106,nan,nan,0.7995642701525054,0.4444444444444444,0.6947712418300653,0.7910675381263615,56_64,56_93,0.8043478260869565,0.5248447204968945,0.724829192546584,0.8043478260869567,56_12,41_84,0.8102189781021898,0.25547445255474455,0.6241240875912407,0.7598540145985402,56_64,56_93,0.8841309547424316,0.51259446144104,0.7818387776613236,0.8841309547424316,56_12,41_84
57,uci_heart_test/57/20251119-200119,nan,nan,0.8006535947712419,0.4466230936819172,0.6984204793028322,0.7910675381263617,57_14,57_24,0.8043478260869565,0.5248447204968945,0.7274223602484474,0.8043478260869567,57_14,41_84,0.8138686131386861,0.26277372262773724,0.6302554744525548,0.7598540145985402,57_14,57_24,0.8841309547424316,0.51259446144104,0.7838412988185882,0.8841309547424316,57_14,41_84
58,uci_heart_test/58/20251119-200131,nan,nan,0.8006535947712419,0.4466230936819172,0.7365795206971678,0.7907407407407406,58_18,58_40,0.8043478260869565,0.5248447204968945,0.758136645962733,0.8043478260869567,58_18,41_84,0.8138686131386861,0.26277372262773724,0.6859124087591243,0.7587591240875912,58_18,58_40,0.8841309547424316,0.51259446144104,0.8252896589040756,0.8841309547424316,58_18,41_84
59,uci_heart_test/59/20251119-200144,nan,nan,0.8006535947712419,0.24074074074074073,0.6918954248366014,0.7907407407407406,59_21,59_48,0.8059006211180124,0.2593167701863354,0.7202484472049691,0.8043478260869567,59_21,59_53,0.8138686131386861,0.19708029197080293,0.6252554744525547,0.7587591240875912,59_21,59_35,0.8841309547424316,0.3073047995567322,0.7780604413151742,0.8841309547424316,59_21,41_84
60,uci_heart_test/60/20251119-200156,nan,nan,0.7995642701525054,0.4466230936819172,0.7275708061002178,0.7908496732026145,60_11,60_86,0.8043478260869565,0.5248447204968945,0.7500776397515528,0.8043478260869567,60_11,41_84,0.8102189781021898,0.26277372262773724,0.6746715328467154,0.7591240875912408,60_11,60_86,0.8841309547424316,0.51259446144104,0.815554147362709,0.8841309547424316,60_11,41_84
61,uci_heart_test/61/20251119-200208,nan,nan,0.7973856209150327,0.4466230936819172,0.7343572984749457,0.7875816993464052,61_43,61_98,0.8059006211180124,0.5093167701863354,0.756475155279503,0.8043478260869567,61_80,61_21,0.8065693430656934,0.26277372262773724,0.6823722627737228,0.7481751824817519,61_43,61_23,0.8841309547424316,0.51259446144104,0.8253526318073273,0.8841309547424316,61_43,41_84
