generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_accuracy_to_baseline,min_accuracy_to_baseline,mean_accuracy_to_baseline,elites_mean_accuracy_to_baseline,cid_min_accuracy_to_baseline,cid_max_accuracy_to_baseline,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
25,uci_wine_test/25/20251012-213853,nan,nan,0.9101123595505618,0.2696629213483146,0.8343258426966291,0.9101123595505618,25_15,17_53,0.9101123809814453,0.28651684522628784,0.8356741684675216,0.9101123809814453,25_15,17_53
26,uci_wine_test/26/20251012-213855,nan,nan,0.9101123595505618,0.2696629213483146,0.8079775280898877,0.9101123595505618,26_16,17_53,0.9101123809814453,0.28651684522628784,0.8103370875120163,0.9101123809814453,26_16,17_53
27,uci_wine_test/27/20251012-213856,nan,nan,0.9101123595505618,0.2696629213483146,0.7965730337078653,0.9101123595505618,27_22,17_53,0.9101123809814453,0.28651684522628784,0.7997752887010574,0.9101123809814453,27_22,17_53
28,uci_wine_test/28/20251012-213858,nan,nan,0.9101123595505618,0.2696629213483146,0.8383707865168537,0.9101123595505618,28_56,17_53,0.9101123809814453,0.28651684522628784,0.8384269797801971,0.9101123809814453,28_56,17_53
29,uci_wine_test/29/20251012-213900,nan,nan,0.9101123595505618,0.2696629213483146,0.8087078651685394,0.9101123595505618,29_13,17_53,0.9101123809814453,0.28651684522628784,0.8097191125154495,0.9101123809814453,29_13,17_53
30,uci_wine_test/30/20251012-213901,nan,nan,0.9101123595505618,0.2696629213483146,0.8087640449438203,0.9101123595505618,30_12,17_53,0.9101123809814453,0.28651684522628784,0.810337091088295,0.9101123809814453,30_12,17_53
31,uci_wine_test/31/20251012-213903,nan,nan,0.9325842696629213,0.2696629213483146,0.8330337078651684,0.9123595505617977,31_13,31_76,0.9213483333587646,0.28651684522628784,0.8346067547798157,0.9112359762191773,31_13,31_76
32,uci_wine_test/32/20251012-213904,nan,nan,0.9325842696629213,0.2696629213483146,0.8371910112359551,0.9162921348314608,32_14,31_76,0.9269663095474243,0.28651684522628784,0.837977541089058,0.9140449643135071,32_14,32_57
33,uci_wine_test/33/20251012-213906,nan,nan,0.9325842696629213,0.2696629213483146,0.80561797752809,0.9269662921348315,33_27,31_76,0.9269663095474243,0.28651684522628784,0.8047752913832664,0.9230337262153625,33_27,32_57
34,uci_wine_test/34/20251012-213907,nan,nan,0.9325842696629213,0.2696629213483146,0.8448876404494385,0.9280898876404496,34_29,33_43,0.9269663095474243,0.28651684522628784,0.8420786628127098,0.9252809166908265,34_29,32_57
35,uci_wine_test/35/20251012-213909,nan,nan,0.9325842696629213,0.2696629213483146,0.8311797752808988,0.9269662921348315,35_83,32_80,0.9269663095474243,0.28651684522628784,0.8321910187602043,0.9269663095474243,35_83,32_57
36,uci_wine_test/36/20251012-213910,nan,nan,0.9325842696629213,0.2696629213483146,0.8143258426966292,0.9269662921348315,36_46,36_25,0.9269663095474243,0.28651684522628784,0.8149438285827637,0.9269663095474243,36_46,32_57
37,uci_wine_test/37/20251012-213912,nan,nan,0.9325842696629213,0.2696629213483146,0.8403932584269664,0.9269662921348315,37_28,37_46,0.9269663095474243,0.28651684522628784,0.8415730428695679,0.9269663095474243,37_28,32_57
38,uci_wine_test/38/20251012-213914,nan,nan,0.9325842696629213,0.2696629213483146,0.8508426966292137,0.9269662921348315,38_35,38_58,0.9269663095474243,0.28651684522628784,0.8511797872185707,0.9269663095474243,38_35,32_57
39,uci_wine_test/39/20251012-213915,nan,nan,0.9325842696629213,0.2696629213483146,0.8378651685393261,0.9269662921348315,39_16,39_77,0.9269663095474243,0.28651684522628784,0.8383146175742149,0.9269663095474243,39_16,32_57
40,uci_wine_test/40/20251012-213918,nan,nan,0.9325842696629213,0.2696629213483146,0.8428089887640451,0.9269662921348315,40_42,40_76,0.9269663095474243,0.28651684522628784,0.8438202342391015,0.9269663095474243,40_42,32_57
41,uci_wine_test/41/20251012-213920,nan,nan,0.9269662921348315,0.2696629213483146,0.8469101123595506,0.9269662921348315,41_57,32_57,0.9269663095474243,0.28651684522628784,0.8481460776925087,0.9269663095474243,41_57,32_57
42,uci_wine_test/42/20251012-213922,nan,nan,0.9325842696629213,0.2696629213483146,0.8473033707865167,0.9269662921348315,42_11,42_27,0.9269663095474243,0.28651684522628784,0.848033718764782,0.9269663095474243,42_11,32_57
43,uci_wine_test/43/20251012-213924,nan,nan,0.9325842696629213,0.2696629213483146,0.8448876404494383,0.9269662921348315,43_20,43_19,0.9269663095474243,0.28651684522628784,0.8457303494215012,0.9269663095474243,43_20,32_57
44,uci_wine_test/44/20251012-213926,nan,nan,0.9325842696629213,0.2696629213483146,0.8499438202247194,0.9269662921348315,44_24,44_96,0.9269663095474243,0.28651684522628784,0.8514045068621635,0.9269663095474243,44_24,32_57
45,uci_wine_test/45/20251012-213928,nan,nan,0.9325842696629213,0.2696629213483146,0.8297191011235955,0.9269662921348315,45_35,45_70,0.9269663095474243,0.28651684522628784,0.8319101211428642,0.9269663095474243,45_35,32_57
46,uci_wine_test/46/20251012-213930,nan,nan,0.9325842696629213,0.2696629213483146,0.8300561797752809,0.9269662921348315,46_31,46_28,0.9269663095474243,0.28651684522628784,0.832471921145916,0.9269663095474243,46_31,32_57
