generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_accuracy_to_baseline,min_accuracy_to_baseline,mean_accuracy_to_baseline,elites_mean_accuracy_to_baseline,cid_min_accuracy_to_baseline,cid_max_accuracy_to_baseline,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
11,uci_wine_test/11/20251012-220408,nan,nan,0.8764044943820225,0.2696629213483146,0.7507303370786516,0.8679775280898875,11_31,9_49,0.8764044943820225,0.2696629213483146,0.7507303370786516,0.8679775280898875,11_31,9_49
12,uci_wine_test/12/20251012-220409,nan,nan,0.8764044943820225,0.3595505617977528,0.7454494382022472,0.8735955056179776,12_15,9_49,0.8764044943820225,0.3595505617977528,0.7454494382022472,0.8735955056179776,12_15,9_49
13,uci_wine_test/13/20251012-220411,nan,nan,0.8932584269662921,0.4157303370786517,0.7542696629213482,0.8780898876404495,13_27,13_54,0.8932584269662921,0.4157303370786517,0.7542696629213482,0.8780898876404495,13_27,13_54
14,uci_wine_test/14/20251012-220412,nan,nan,0.8932584269662921,0.4157303370786517,0.7761235955056182,0.8820224719101125,14_38,13_54,0.8932584269662921,0.4157303370786517,0.7761235955056182,0.8820224719101125,14_38,13_54
15,uci_wine_test/15/20251012-220413,nan,nan,0.8932584269662921,0.4157303370786517,0.7808426966292135,0.8870786516853932,15_32,13_54,0.8932584269662921,0.4157303370786517,0.7808426966292135,0.8870786516853932,15_32,13_54
16,uci_wine_test/16/20251012-220414,nan,nan,0.898876404494382,0.2696629213483146,0.7755617977528092,0.8898876404494382,16_17,16_59,0.898876404494382,0.2696629213483146,0.7755617977528092,0.8898876404494382,16_17,16_59
17,uci_wine_test/17/20251012-220416,nan,nan,0.898876404494382,0.2696629213483146,0.8047191011235956,0.8949438202247192,17_68,16_59,0.898876404494382,0.2696629213483146,0.8047191011235956,0.8949438202247192,17_68,16_59
18,uci_wine_test/18/20251012-220417,nan,nan,0.9044943820224719,0.2752808988764045,0.7747191011235957,0.8994382022471911,18_16,18_11,0.9044943820224719,0.2752808988764045,0.7747191011235957,0.8994382022471911,18_16,18_11
19,uci_wine_test/19/20251012-220418,nan,nan,0.9044943820224719,0.2696629213483146,0.807921348314607,0.9028089887640449,19_51,18_11,0.9044943820224719,0.2696629213483146,0.807921348314607,0.9028089887640449,19_51,18_11
20,uci_wine_test/20/20251012-220419,nan,nan,0.9157303370786517,0.38202247191011235,0.8085393258426968,0.9056179775280899,20_93,20_78,0.9157303370786517,0.38202247191011235,0.8085393258426968,0.9056179775280899,20_93,20_78
21,uci_wine_test/21/20251012-220421,nan,nan,0.9157303370786517,0.2752808988764045,0.8056179775280902,0.9089887640449437,21_96,20_78,0.9157303370786517,0.2752808988764045,0.8056179775280902,0.9089887640449437,21_96,20_78
22,uci_wine_test/22/20251012-220422,nan,nan,0.9213483146067416,0.28651685393258425,0.8398876404494385,0.9157303370786517,22_90,22_88,0.9213483146067416,0.28651685393258425,0.8398876404494385,0.9157303370786517,22_90,22_88
