generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_baseline_accuracy,min_baseline_accuracy,mean_baseline_accuracy,elites_mean_baseline_accuracy,cid_min_baseline_accuracy,cid_max_baseline_accuracy,max_in_distribution_accuracy,min_in_distribution_accuracy,mean_in_distribution_accuracy,elites_mean_in_distribution_accuracy,cid_min_in_distribution_accuracy,cid_max_in_distribution_accuracy,max_out_of_distribution_accuracy,min_out_of_distribution_accuracy,mean_out_of_distribution_accuracy,elites_mean_out_of_distribution_accuracy,cid_min_out_of_distribution_accuracy,cid_max_out_of_distribution_accuracy,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
90,uci_wine_test/90/20251106-002532,nan,nan,0.7696629213483146,0.2696629213483146,0.6812921348314606,0.7522471910112358,90_17,90_25,0.8947368421052632,0.15789473684210525,0.7719736842105263,0.8947368421052632,90_17,79_44,0.7254901960784313,0.29411764705882354,0.6137254901960786,0.6460784313725491,90_80,90_44,0.9601770043373108,0.1592920422554016,0.8329646024107933,0.9601770043373108,90_17,79_44
91,uci_wine_test/91/20251106-002535,nan,nan,0.7640449438202247,0.398876404494382,0.6994382022471909,0.7522471910112358,91_48,91_31,0.8947368421052632,0.2894736842105263,0.8126315789473684,0.8947368421052632,91_48,79_44,0.696078431372549,0.29411764705882354,0.6150980392156864,0.6460784313725491,91_46,91_34,0.9601770043373108,0.28318583965301514,0.8730088546872139,0.9601770043373108,91_48,79_44
92,uci_wine_test/92/20251106-002539,nan,nan,0.7696629213483146,0.398876404494382,0.6726966292134832,0.7522471910112358,92_17,92_22,0.8947368421052632,0.2894736842105263,0.7632894736842104,0.8947368421052632,92_17,79_44,0.7254901960784313,0.29411764705882354,0.6051960784313726,0.6460784313725491,92_27,92_46,0.9601770043373108,0.28318583965301514,0.8280973470211029,0.9601770043373108,92_17,79_44
93,uci_wine_test/93/20251106-002542,nan,nan,0.7696629213483146,0.398876404494382,0.6946067415730336,0.7522471910112358,93_31,93_96,0.8947368421052632,0.2894736842105263,0.7863157894736841,0.8947368421052632,93_31,79_44,0.7254901960784313,0.4117647058823529,0.6262745098039216,0.6460784313725491,93_95,93_30,0.9601770043373108,0.28318583965301514,0.8470354014635086,0.9601770043373108,93_31,79_44
94,uci_wine_test/94/20251106-002545,nan,nan,0.7696629213483146,0.398876404494382,0.7080898876404496,0.7522471910112358,94_40,94_23,0.8947368421052632,0.2894736842105263,0.8140789473684209,0.8947368421052632,94_40,79_44,0.7254901960784313,0.4019607843137255,0.6291176470588237,0.6460784313725491,94_39,94_14,0.9601770043373108,0.28318583965301514,0.8776106250286102,0.9601770043373108,94_40,79_44
95,uci_wine_test/95/20251106-002549,nan,nan,0.7696629213483146,0.398876404494382,0.6864606741573033,0.7511235955056179,95_14,95_86,0.8947368421052632,0.2894736842105263,0.7835526315789473,0.8947368421052632,95_14,79_44,0.7156862745098039,0.4019607843137255,0.6141176470588237,0.6441176470588236,95_91,95_77,0.9601770043373108,0.28318583965301514,0.846017701625824,0.9601770043373108,95_14,79_44
96,uci_wine_test/96/20251106-002553,nan,nan,0.7640449438202247,0.2696629213483146,0.6670224719101124,0.750561797752809,96_50,96_46,0.8947368421052632,0.15789473684210525,0.7535526315789473,0.8947368421052632,96_50,79_44,0.7254901960784313,0.35294117647058826,0.6025490196078432,0.6431372549019606,96_50,96_54,0.9601770043373108,0.1592920422554016,0.8037610673904418,0.9601770043373108,96_50,79_44
97,uci_wine_test/97/20251106-002556,nan,nan,0.7696629213483146,0.39325842696629215,0.6906741573033706,0.7516853932584269,97_54,97_28,0.8947368421052632,0.2894736842105263,0.7897368421052632,0.8947368421052632,97_15,79_44,0.7254901960784313,0.39215686274509803,0.6168627450980393,0.6450980392156863,97_40,97_98,0.9601770043373108,0.28318583965301514,0.8507964634895324,0.9601770043373108,97_15,79_44
98,uci_wine_test/98/20251106-002600,nan,nan,0.7696629213483146,0.398876404494382,0.6844943820224719,0.7522471910112358,98_18,98_20,0.8947368421052632,0.2894736842105263,0.7826315789473683,0.8947368421052632,98_18,79_44,0.7254901960784313,0.39215686274509803,0.611372549019608,0.6460784313725491,98_11,98_96,0.9601770043373108,0.28318583965301514,0.8478761079907418,0.9601770043373108,98_18,79_44
99,uci_wine_test/99/20251106-002604,nan,nan,0.7696629213483146,0.398876404494382,0.6799438202247191,0.750561797752809,99_29,99_87,0.8947368421052632,0.2894736842105263,0.7730263157894737,0.8947368421052632,99_29,79_44,0.7254901960784313,0.29411764705882354,0.6105882352941178,0.6431372549019608,99_22,99_14,0.9601770043373108,0.28318583965301514,0.8318141642212867,0.9601770043373108,99_29,79_44
100,uci_wine_test/100/20251106-002608,nan,nan,0.7640449438202247,0.398876404494382,0.6848314606741575,0.750561797752809,100_20,100_63,0.8947368421052632,0.2894736842105263,0.7944736842105263,0.8947368421052632,100_20,79_44,0.7254901960784313,0.29411764705882354,0.6031372549019608,0.6431372549019608,100_86,100_15,0.9601770043373108,0.28318583965301514,0.8576548719406127,0.9601770043373108,100_20,79_44
101,uci_wine_test/101/20251106-002612,nan,nan,0.7696629213483146,0.398876404494382,0.674887640449438,0.7488764044943821,101_30,101_78,0.8947368421052632,0.2894736842105263,0.7785526315789472,0.8947368421052632,101_30,79_44,0.7352941176470589,0.29411764705882354,0.5976470588235295,0.6401960784313724,101_33,101_77,0.9601770043373108,0.28318583965301514,0.8373893848061562,0.9601770043373108,101_30,79_44
102,uci_wine_test/102/20251106-002617,nan,nan,0.7696629213483146,0.2696629213483146,0.6858426966292135,0.749438202247191,102_65,102_74,0.8947368421052632,0.15789473684210525,0.7944736842105261,0.8947368421052632,102_65,79_44,0.7352941176470589,0.35294117647058826,0.6049019607843138,0.6411764705882353,102_65,102_16,0.9601770043373108,0.1592920422554016,0.855398235321045,0.9601770043373108,102_65,79_44
103,uci_wine_test/103/20251106-002621,nan,nan,0.7696629213483146,0.2696629213483146,0.666179775280899,0.75,103_42,103_31,0.8947368421052632,0.15789473684210525,0.755131578947368,0.8947368421052632,103_42,79_44,0.7254901960784313,0.35294117647058826,0.5999019607843137,0.6421568627450981,103_42,103_63,0.9601770043373108,0.1592920422554016,0.8145575255155564,0.9601770043373108,103_42,79_44
104,uci_wine_test/104/20251106-002627,nan,nan,0.7640449438202247,0.398876404494382,0.6815168539325842,0.7488764044943821,104_64,104_70,0.8947368421052632,0.2894736842105263,0.7907894736842103,0.8947368421052632,104_64,79_44,0.696078431372549,0.39215686274509803,0.6000980392156863,0.6401960784313724,104_27,104_44,0.9601770043373108,0.28318583965301514,0.8591592955589294,0.9601770043373108,104_64,79_44
105,uci_wine_test/105/20251106-002635,nan,nan,0.7640449438202247,0.398876404494382,0.6725842696629215,0.749438202247191,105_14,105_48,0.8947368421052632,0.2894736842105263,0.778815789473684,0.8947368421052632,105_14,79_44,0.6862745098039216,0.39215686274509803,0.5934313725490196,0.6411764705882351,105_23,105_29,0.9601770043373108,0.28318583965301514,0.8399557560682297,0.9601770043373108,105_14,79_44
106,uci_wine_test/106/20251106-002641,nan,nan,0.7696629213483146,0.398876404494382,0.6685393258426966,0.7488764044943821,106_21,106_19,0.8947368421052632,0.2894736842105263,0.7657894736842104,0.8947368421052632,106_21,79_44,0.7254901960784313,0.27450980392156865,0.596078431372549,0.6401960784313726,106_14,106_26,0.9601770043373108,0.28318583965301514,0.830265491604805,0.9601770043373108,106_21,79_44
107,uci_wine_test/107/20251106-002647,nan,nan,0.7640449438202247,0.3539325842696629,0.6834831460674157,0.7483146067415731,107_43,107_14,0.8947368421052632,0.2894736842105263,0.7905263157894737,0.8947368421052632,107_18,79_44,0.6666666666666666,0.19607843137254902,0.6037254901960786,0.6392156862745099,107_43,107_14,0.9601770043373108,0.28318583965301514,0.8473451390862465,0.9601770043373108,107_18,79_44
108,uci_wine_test/108/20251106-002652,nan,nan,0.7696629213483146,0.3651685393258427,0.6457303370786518,0.7516853932584271,108_62,108_41,0.8947368421052632,0.27631578947368424,0.7248684210526315,0.8947368421052632,108_62,79_44,0.7254901960784313,0.39215686274509803,0.586764705882353,0.6450980392156862,108_20,108_16,0.9601770043373108,0.28318583965301514,0.7785840746760369,0.9601770043373108,108_17,79_44
109,uci_wine_test/109/20251106-002659,nan,nan,0.7696629213483146,0.2696629213483146,0.6630337078651687,0.751123595505618,109_77,108_41,0.8947368421052632,0.15789473684210525,0.7478947368421052,0.8947368421052632,109_77,79_44,0.7058823529411765,0.27450980392156865,0.5998039215686275,0.6441176470588234,109_69,109_71,0.9601770043373108,0.1592920422554016,0.8029203608632087,0.9601770043373108,109_77,79_44
110,uci_wine_test/110/20251106-002705,nan,nan,0.7696629213483146,0.3651685393258427,0.6756179775280898,0.7488764044943821,110_14,109_37,0.8947368421052632,0.27631578947368424,0.7859210526315789,0.8947368421052632,110_14,79_44,0.7254901960784313,0.27450980392156865,0.5934313725490196,0.6401960784313724,110_59,110_58,0.9601770043373108,0.28318583965301514,0.8419911575317383,0.9601770043373108,110_12,79_44
111,uci_wine_test/111/20251106-002712,nan,nan,0.7696629213483146,0.398876404494382,0.6840449438202246,0.750561797752809,111_48,111_24,0.8947368421052632,0.2894736842105263,0.798157894736842,0.8947368421052632,111_48,79_44,0.7254901960784313,0.39215686274509803,0.5990196078431375,0.6431372549019607,111_69,111_53,0.9601770043373108,0.28318583965301514,0.8557079699635506,0.9601770043373108,111_48,79_44
112,uci_wine_test/112/20251106-002718,nan,nan,0.7696629213483146,0.2640449438202247,0.6738764044943819,0.7544943820224719,112_36,112_32,0.8947368421052632,0.15789473684210525,0.7746052631578948,0.8947368421052632,112_36,79_44,0.7254901960784313,0.27450980392156865,0.5988235294117648,0.65,112_24,112_43,0.9601770043373108,0.16371680796146393,0.83106195256114,0.9601770043373108,112_36,79_44
