generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_baseline_accuracy,min_baseline_accuracy,mean_baseline_accuracy,elites_mean_baseline_accuracy,cid_min_baseline_accuracy,cid_max_baseline_accuracy,max_in_distribution_accuracy,min_in_distribution_accuracy,mean_in_distribution_accuracy,elites_mean_in_distribution_accuracy,cid_min_in_distribution_accuracy,cid_max_in_distribution_accuracy,max_out_of_distribution_accuracy,min_out_of_distribution_accuracy,mean_out_of_distribution_accuracy,elites_mean_out_of_distribution_accuracy,cid_min_out_of_distribution_accuracy,cid_max_out_of_distribution_accuracy,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
133,uci_cancer_test/133/20251105-231745,nan,nan,0.9086115992970123,0.37258347978910367,0.838224956063269,0.906854130052724,133_73,131_49,0.8888888888888888,0.2638888888888889,0.7697222222222222,0.888888888888889,133_15,125_83,0.9114688128772636,0.3199195171026157,0.8481488933601607,0.9094567404426558,133_73,131_49,0.9369369149208069,0.28378379344940186,0.8049549424648285,0.9369369149208069,133_15,125_83
134,uci_cancer_test/134/20251105-231801,nan,nan,0.9086115992970123,0.37258347978910367,0.8387521968365553,0.9063268892794374,134_26,131_49,0.8888888888888888,0.2638888888888889,0.79875,0.888888888888889,134_14,125_83,0.9114688128772636,0.3199195171026157,0.8445472837022132,0.9088531187122735,134_26,131_49,0.9414414167404175,0.28378379344940186,0.8397747594118118,0.937387365102768,134_14,134_39
135,uci_cancer_test/135/20251105-231816,nan,nan,0.9086115992970123,0.37258347978910367,0.8438488576449912,0.9072056239015815,135_49,134_39,0.9027777777777778,0.2638888888888889,0.7881944444444444,0.8875,135_11,135_19,0.9114688128772636,0.3199195171026157,0.851911468812877,0.9100603621730381,135_49,134_39,0.9414414167404175,0.28378379344940186,0.8278378242254257,0.937837815284729,135_11,134_39
136,uci_cancer_test/136/20251105-231835,nan,nan,0.9086115992970123,0.37258347978910367,0.8246748681898066,0.906854130052724,136_25,134_39,0.8888888888888888,0.2638888888888889,0.7430555555555555,0.8875,136_17,134_39,0.9114688128772636,0.3199195171026157,0.8364989939637825,0.9096579476861167,136_25,134_39,0.9414414167404175,0.28378379344940186,0.7813963833451271,0.9387387156486511,136_17,134_39
137,uci_cancer_test/137/20251105-231852,nan,nan,0.9086115992970123,0.37258347978910367,0.8409841827768015,0.9086115992970123,137_21,134_39,0.9027777777777778,0.2638888888888889,0.7677777777777777,0.888888888888889,137_11,137_100,0.9114688128772636,0.3199195171026157,0.8515895372233397,0.9114688128772637,137_21,134_39,0.9414414167404175,0.28378379344940186,0.8088738584518432,0.9414414167404175,137_11,134_39
138,uci_cancer_test/138/20251105-231911,nan,nan,0.9086115992970123,0.37258347978910367,0.8515465729349738,0.9086115992970123,138_23,134_39,0.8888888888888888,0.2638888888888889,0.7943055555555556,0.888888888888889,138_17,134_39,0.9114688128772636,0.3199195171026157,0.8598390342052312,0.9114688128772637,138_23,134_39,0.9414414167404175,0.28378379344940186,0.8313963812589645,0.9414414167404175,138_17,134_39
139,uci_cancer_test/139/20251105-231928,nan,nan,0.9086115992970123,0.37258347978910367,0.8366608084358524,0.9086115992970123,139_79,134_39,0.9027777777777778,0.2638888888888889,0.7543055555555556,0.888888888888889,139_13,139_66,0.9114688128772636,0.3199195171026157,0.8485915492957745,0.9114688128772637,139_79,134_39,0.9414414167404175,0.28378379344940186,0.7890089935064316,0.9414414167404175,139_13,134_39
140,uci_cancer_test/140/20251105-231948,nan,nan,0.9086115992970123,0.37258347978910367,0.8418629173989456,0.9086115992970123,140_55,134_39,0.9027777777777778,0.2638888888888889,0.7905555555555556,0.888888888888889,140_14,140_90,0.9114688128772636,0.3199195171026157,0.8492957746478872,0.9114688128772637,140_55,134_39,0.9414414167404175,0.28378379344940186,0.8329279112815857,0.9414414167404175,140_14,134_39
141,uci_cancer_test/141/20251105-232006,nan,nan,0.9086115992970123,0.37258347978910367,0.8277855887521972,0.8826010544815466,141_66,134_39,0.8888888888888888,0.2638888888888889,0.77625,0.888888888888889,141_16,134_39,0.9114688128772636,0.3199195171026157,0.8352515090543258,0.8816901408450704,141_66,134_39,0.9414414167404175,0.28378379344940186,0.8163963809609414,0.9414414167404175,141_17,134_39
142,uci_cancer_test/142/20251105-232020,nan,nan,0.9086115992970123,0.37258347978910367,0.8102987697715293,0.9086115992970123,142_55,134_39,0.8888888888888888,0.2638888888888889,0.7666666666666667,0.888888888888889,142_25,134_39,0.9114688128772636,0.3199195171026157,0.8166197183098589,0.9114688128772637,142_55,134_39,0.9414414167404175,0.28378379344940186,0.8061261120438575,0.9414414167404175,142_25,134_39
143,uci_cancer_test/143/20251105-232035,nan,nan,0.9086115992970123,0.37258347978910367,0.8373637961335677,0.9082601054481547,143_78,134_39,0.8888888888888888,0.2638888888888889,0.7384722222222223,0.888888888888889,143_14,134_39,0.9114688128772636,0.3199195171026157,0.8516901408450702,0.911066398390342,143_78,134_39,0.9414414167404175,0.28378379344940186,0.7818918773531913,0.9414414167404175,143_14,134_39
144,uci_cancer_test/144/20251105-232054,nan,nan,0.9086115992970123,0.37258347978910367,0.8430404217926188,0.9086115992970123,144_66,134_39,0.8888888888888888,0.2638888888888889,0.7733333333333333,0.888888888888889,144_15,134_39,0.9114688128772636,0.3199195171026157,0.8531388329979878,0.9114688128772637,144_66,134_39,0.9414414167404175,0.28378379344940186,0.8191891735792161,0.9414414167404175,144_15,134_39
145,uci_cancer_test/145/20251105-232111,nan,nan,0.9121265377855887,0.6274165202108963,0.8653602811950794,0.907908611599297,145_16,145_82,0.9027777777777778,0.2638888888888889,0.7931944444444445,0.888888888888889,145_16,145_62,0.9134808853118712,0.6800804828973843,0.8758148893360158,0.9106639839034205,145_16,145_82,0.9414414167404175,0.28378379344940186,0.8355405235290527,0.9414414167404175,145_16,134_39
146,uci_cancer_test/146/20251105-232131,nan,nan,0.9121265377855887,0.37258347978910367,0.8436203866432339,0.907908611599297,146_22,146_63,0.9027777777777778,0.2638888888888889,0.7968055555555558,0.888888888888889,146_20,146_63,0.9134808853118712,0.3199195171026157,0.8504024144869216,0.9106639839034205,146_22,146_63,0.9414414167404175,0.28378379344940186,0.8381981807947159,0.9414414167404175,146_20,134_39
147,uci_cancer_test/147/20251105-232149,nan,nan,0.9086115992970123,0.37258347978910367,0.8463268892794379,0.9084358523725834,147_47,134_39,0.8888888888888888,0.2638888888888889,0.7680555555555556,0.888888888888889,147_15,134_39,0.9114688128772636,0.3199195171026157,0.857665995975855,0.9112676056338028,147_47,134_39,0.9414414167404175,0.28378379344940186,0.8101801648736,0.9414414167404175,147_15,134_39
148,uci_cancer_test/148/20251105-232206,nan,nan,0.9086115992970123,0.37258347978910367,0.8350263620386644,0.9075571177504393,148_69,134_39,0.9027777777777778,0.2638888888888889,0.7566666666666666,0.888888888888889,148_12,148_100,0.9114688128772636,0.3199195171026157,0.8463782696177061,0.9102615694164988,148_69,134_39,0.9414414167404175,0.28378379344940186,0.7970270112156868,0.9414414167404175,148_12,134_39
149,uci_cancer_test/149/20251105-232223,nan,nan,0.9086115992970123,0.37258347978910367,0.8259578207381373,0.906854130052724,149_22,134_39,0.8888888888888888,0.2638888888888889,0.7641666666666665,0.888888888888889,149_14,134_39,0.9114688128772636,0.3199195171026157,0.8349094567404426,0.9094567404426558,149_22,134_39,0.9459459185600281,0.28378379344940186,0.8045945796370506,0.9418918669223786,149_14,149_42
150,uci_cancer_test/150/20251105-232240,nan,nan,0.9086115992970123,0.37258347978910367,0.8403163444639721,0.9075571177504393,150_40,149_42,0.8888888888888888,0.2638888888888889,0.766388888888889,0.888888888888889,150_23,149_42,0.9114688128772636,0.3199195171026157,0.8510261569416498,0.9102615694164988,150_40,149_42,0.9459459185600281,0.28378379344940186,0.8077477329969406,0.9423423171043396,150_23,149_42
151,uci_cancer_test/151/20251105-232258,nan,nan,0.9086115992970123,0.37258347978910367,0.8524780316344465,0.9075571177504393,151_39,149_42,0.8888888888888888,0.2638888888888889,0.7866666666666666,0.888888888888889,151_13,149_42,0.9114688128772636,0.3199195171026157,0.8620120724346075,0.9102615694164988,151_39,149_42,0.9459459185600281,0.28378379344940186,0.8285134974122047,0.9423423171043396,151_13,149_42
152,uci_cancer_test/152/20251105-232312,nan,nan,0.9086115992970123,0.37258347978910367,0.8487346221441124,0.9075571177504393,152_23,149_42,0.8888888888888888,0.2638888888888889,0.8218055555555556,0.888888888888889,152_51,149_42,0.9114688128772636,0.3199195171026157,0.8526358148893359,0.9102615694164988,152_23,149_42,0.9459459185600281,0.28378379344940186,0.8629279097914696,0.9423423171043396,152_51,149_42
153,uci_cancer_test/153/20251105-232326,nan,nan,0.9156414762741653,0.37258347978910367,0.8595957820738139,0.9065026362038664,153_17,153_87,0.8888888888888888,0.2638888888888889,0.798611111111111,0.888888888888889,153_33,149_42,0.9195171026156942,0.3199195171026157,0.8684305835010059,0.9090543259557343,153_17,153_87,0.9459459185600281,0.28378379344940186,0.842522505223751,0.9423423171043396,153_33,149_42
154,uci_cancer_test/154/20251105-232340,nan,nan,0.9138840070298769,0.37258347978910367,0.8611599297012301,0.9080843585237257,154_28,154_24,0.9027777777777778,0.2638888888888889,0.8130555555555555,0.888888888888889,154_18,154_91,0.9175050301810865,0.3199195171026157,0.8681287726358147,0.9108651911468814,154_28,154_24,0.9504504799842834,0.28378379344940186,0.8563513344526291,0.9427927732467651,154_18,154_75
155,uci_cancer_test/155/20251105-232354,nan,nan,0.9138840070298769,0.37258347978910367,0.8428998242530759,0.9089630931458699,155_61,154_24,0.8888888888888888,0.2638888888888889,0.7524999999999998,0.888888888888889,155_18,154_75,0.9175050301810865,0.3199195171026157,0.8559959758551308,0.9118712273641851,155_61,154_24,0.9504504799842834,0.28378379344940186,0.7957657516002655,0.9441441297531128,155_20,154_75
156,uci_cancer_test/156/20251105-232406,nan,nan,0.9138840070298769,0.37258347978910367,0.8531810193321618,0.90896309314587,156_61,154_24,0.8888888888888888,0.2638888888888889,0.7877777777777779,0.888888888888889,156_12,154_75,0.9175050301810865,0.3199195171026157,0.862655935613682,0.9118712273641851,156_61,154_24,0.9504504799842834,0.28378379344940186,0.8319819697737694,0.9445945799350739,156_18,154_75
157,uci_cancer_test/157/20251105-232421,nan,nan,0.9138840070298769,0.37258347978910367,0.8331985940246046,0.9086115992970123,157_53,154_24,0.8888888888888888,0.2638888888888889,0.7708333333333335,0.888888888888889,157_13,154_75,0.9175050301810865,0.3199195171026157,0.8422334004024142,0.9114688128772637,157_53,154_24,0.9504504799842834,0.28378379344940186,0.8188288331031799,0.9504504799842834,157_25,154_75
158,uci_cancer_test/158/20251105-232437,nan,nan,0.9121265377855887,0.37258347978910367,0.8369244288224956,0.9084358523725834,158_50,158_47,0.9027777777777778,0.2638888888888889,0.7504166666666666,0.888888888888889,158_16,158_47,0.9134808853118712,0.3199195171026157,0.8494567404426558,0.9112676056338028,158_50,158_47,0.9504504799842834,0.28378379344940186,0.8017567697167397,0.9504504799842834,158_16,154_75
159,uci_cancer_test/159/20251105-232456,nan,nan,0.9086115992970123,0.37258347978910367,0.8446924428822498,0.9082601054481547,159_13,154_75,0.9027777777777778,0.2638888888888889,0.7697222222222223,0.888888888888889,159_12,159_40,0.9114688128772636,0.3199195171026157,0.855553319919517,0.911066398390342,159_13,154_75,0.9504504799842834,0.28378379344940186,0.8196396547555923,0.9504504799842834,159_12,154_75
160,uci_cancer_test/160/20251105-232514,nan,nan,0.9086115992970123,0.37258347978910367,0.8274868189806681,0.9082601054481547,160_15,154_75,0.8888888888888888,0.2638888888888889,0.7505555555555554,0.888888888888889,160_20,154_75,0.9134808853118712,0.3199195171026157,0.8386317907444666,0.911066398390342,160_15,160_43,0.9504504799842834,0.28378379344940186,0.7998648795485497,0.9504504799842834,160_20,154_75
161,uci_cancer_test/161/20251105-232531,nan,nan,0.9086115992970123,0.37258347978910367,0.8420562390158175,0.9086115992970123,161_16,154_75,0.8888888888888888,0.2638888888888889,0.77125,0.888888888888889,161_12,154_75,0.9114688128772636,0.3199195171026157,0.8523138832997987,0.9114688128772637,161_16,154_75,0.9504504799842834,0.28378379344940186,0.8264865019917488,0.9504504799842834,161_12,154_75
162,uci_cancer_test/162/20251105-232550,nan,nan,0.9086115992970123,0.6274165202108963,0.8503163444639721,0.9077328646748682,162_15,154_75,0.8888888888888888,0.2638888888888889,0.7569444444444445,0.888888888888889,162_15,154_75,0.9114688128772636,0.6800804828973843,0.8638430583501006,0.9104627766599597,162_15,154_75,0.9504504799842834,0.28378379344940186,0.8112162306904793,0.9504504799842834,162_15,154_75
163,uci_cancer_test/163/20251105-232616,nan,nan,0.9086115992970123,0.37258347978910367,0.8543585237258349,0.906854130052724,163_31,154_75,0.8888888888888888,0.2638888888888889,0.7890277777777779,0.888888888888889,163_13,154_75,0.9114688128772636,0.3199195171026157,0.8638229376257547,0.9094567404426559,163_31,154_75,0.9504504799842834,0.28378379344940186,0.8442342507839203,0.9504504799842834,163_13,154_75
164,uci_cancer_test/164/20251105-232648,nan,nan,0.9086115992970123,0.37258347978910367,0.8390509666080845,0.9086115992970123,164_39,154_75,0.8888888888888888,0.2638888888888889,0.7690277777777778,0.888888888888889,164_17,154_75,0.9114688128772636,0.3199195171026157,0.8491951710261568,0.9114688128772637,164_39,154_75,0.9504504799842834,0.28378379344940186,0.8209910050034523,0.9504504799842834,164_17,154_75
165,uci_cancer_test/165/20251105-232709,nan,nan,0.9121265377855887,0.6274165202108963,0.8656239015817225,0.9082601054481547,165_11,165_64,0.9027777777777778,0.2638888888888889,0.7913888888888888,0.888888888888889,165_11,165_64,0.9134808853118712,0.6800804828973843,0.876378269617706,0.911066398390342,165_11,165_64,0.9504504799842834,0.28378379344940186,0.8459910070896148,0.9504504799842834,165_11,154_75
166,uci_cancer_test/166/20251105-232733,nan,nan,0.9086115992970123,0.37258347978910367,0.8535852372583483,0.9082601054481547,166_27,154_75,0.8888888888888888,0.2638888888888889,0.7909722222222222,0.888888888888889,166_15,154_75,0.9114688128772636,0.3199195171026157,0.862655935613682,0.911066398390342,166_27,154_75,0.9504504799842834,0.28378379344940186,0.8431531712412834,0.9504504799842834,166_18,154_75
167,uci_cancer_test/167/20251105-232755,nan,nan,0.9121265377855887,0.37258347978910367,0.8260105448154657,0.9086115992970123,167_15,167_100,0.9027777777777778,0.2638888888888889,0.785138888888889,0.888888888888889,167_22,167_100,0.9134808853118712,0.3199195171026157,0.8319315895372231,0.9114688128772637,167_15,167_100,0.9504504799842834,0.28378379344940186,0.8348648831248283,0.9504504799842834,167_22,154_75
168,uci_cancer_test/168/20251105-232816,nan,nan,0.9086115992970123,0.37258347978910367,0.8280316344463973,0.9086115992970123,168_11,154_75,0.8888888888888888,0.2638888888888889,0.7819444444444446,0.888888888888889,168_16,154_75,0.9114688128772636,0.3199195171026157,0.8347082494969819,0.9114688128772637,168_11,154_75,0.9504504799842834,0.28378379344940186,0.8322973132133484,0.9504504799842834,168_16,154_75
169,uci_cancer_test/169/20251105-232837,nan,nan,0.9086115992970123,0.37258347978910367,0.8519507908611602,0.9086115992970123,169_38,154_75,0.8888888888888888,0.2638888888888889,0.7831944444444444,0.888888888888889,169_19,154_75,0.9114688128772636,0.3199195171026157,0.8619114688128771,0.9114688128772637,169_38,154_75,0.9504504799842834,0.28378379344940186,0.8296396523714066,0.9504504799842834,169_19,154_75
170,uci_cancer_test/170/20251105-232859,nan,nan,0.9086115992970123,0.37258347978910367,0.8386643233743412,0.9086115992970123,170_24,154_75,0.8888888888888888,0.2638888888888889,0.7656944444444446,0.888888888888889,170_12,154_75,0.9114688128772636,0.3199195171026157,0.8492354124748489,0.9114688128772637,170_24,154_75,0.9504504799842834,0.28378379344940186,0.8160810968279839,0.9504504799842834,170_12,154_75
